Date,Open,High,Low,Close,Volume,Change Pct
2020-01-02,74.06,75.15,73.8,75.09,135647456,2.29
2020-01-03,74.29,75.14,74.12,74.36,146535520,-0.97
2020-01-06,73.45,74.99,73.19,74.95,118578576,0.79
2020-01-07,74.96,75.22,74.37,74.6,111510624,-0.47
2020-01-08,74.29,76.11,74.29,75.8,132363784,1.61
2020-01-09,76.81,77.61,76.55,77.41,170486176,2.12
2020-01-10,77.65,78.17,77.06,77.58,140869088,0.22
2020-01-13,77.91,79.27,77.79,79.24,122086888,2.14
2020-01-14,79.17,79.39,78.04,78.17,162613824,-1.35
2020-01-15,77.96,78.88,77.39,77.83,121923528,-0.43
2020-01-16,78.4,78.92,78.02,78.81,108829016,1.26
2020-01-17,79.07,79.69,78.75,79.68,137816464,1.1
2020-01-21,79.3,79.75,79.0,79.14,110843256,-0.68
2020-01-22,79.64,80.0,79.33,79.42,101832464,0.35
2020-01-23,79.48,79.89,78.91,79.81,104471968,0.49
2020-01-24,80.06,80.83,79.38,79.58,146537520,-0.29
2020-01-27,77.52,77.94,76.22,77.24,161940016,-2.94
2020-01-28,78.15,79.6,78.05,79.42,162233952,2.82
2020-01-29,81.11,81.96,80.34,81.08,216599712,2.09
2020-01-30,80.14,81.02,79.69,80.97,126743232,-0.14
2020-01-31,80.23,80.67,77.07,77.38,199588384,-4.43
2020-02-03,76.08,78.37,75.56,77.17,173985600,-0.27
2020-02-04,78.83,79.91,78.41,79.71,136616544,3.29
2020-02-05,80.88,81.19,79.74,80.36,118826872,0.82
2020-02-06,80.64,81.31,80.07,81.3,105425536,1.17
2020-02-07,80.59,80.85,79.5,80.01,117684048,-1.59
2020-02-10,78.55,80.39,78.46,80.39,109348864,0.47
2020-02-11,80.9,80.97,79.68,79.9,94323120,-0.61
2020-02-12,80.37,81.81,80.37,81.8,113730288,2.38
2020-02-13,81.05,81.56,80.84,81.22,94747568,-0.71
2020-02-14,81.19,81.5,80.71,81.24,80113792,0.02
2020-02-18,78.84,79.94,78.65,79.75,152762176,-1.83
2020-02-19,80.0,81.14,80.0,80.91,93983968,1.45
2020-02-20,80.66,81.16,79.55,80.08,100565952,-1.03
2020-02-21,79.66,80.11,77.62,78.26,129705664,-2.27
2020-02-24,74.31,76.05,72.31,74.55,222195312,-4.74
2020-02-25,75.24,75.63,71.53,72.02,230673456,-3.39
2020-02-26,71.63,74.47,71.62,73.16,198713728,1.58
2020-02-27,70.28,71.5,68.24,68.38,320605536,-6.53
2020-02-28,64.31,69.6,64.09,68.34,426884928,-0.06
2020-03-02,70.57,75.36,69.43,74.7,341397344,9.31
2020-03-03,75.92,76.0,71.45,72.33,319475392,-3.17
2020-03-04,74.11,75.85,73.28,75.69,219178272,4.65
2020-03-05,73.88,74.89,72.85,73.23,187572880,-3.25
2020-03-06,70.5,72.7,70.31,72.26,226176992,-1.32
2020-03-09,65.94,69.52,65.75,66.54,286744832,-7.92
2020-03-10,69.28,71.61,67.34,71.33,285290080,7.2
2020-03-11,69.35,70.31,67.97,68.86,256379872,-3.46
2020-03-12,63.98,67.5,62.0,62.06,418474080,-9.88
2020-03-13,66.22,69.98,63.24,69.49,370732128,11.97
2020-03-16,60.49,64.77,60.0,60.55,322423456,-12.87
2020-03-17,61.88,64.4,59.6,63.22,324055872,4.41
2020-03-18,59.94,62.5,59.28,61.67,300233632,-2.45
2020-03-19,61.85,63.21,60.65,61.2,271857024,-0.76
2020-03-20,61.8,62.96,57.0,57.31,401693376,-6.36
2020-03-23,57.02,57.12,53.15,56.09,336752832,-2.13
2020-03-24,59.09,61.92,58.58,61.72,287531104,10.04
2020-03-25,62.69,64.56,61.08,61.38,303602048,-0.55
2020-03-26,61.63,64.67,61.59,64.61,252560672,5.26
2020-03-27,63.19,63.97,61.76,61.94,204216608,-4.13
2020-03-30,62.69,63.88,62.35,63.7,167976448,2.84
2020-03-31,63.9,65.62,63.0,63.57,197002000,-0.2
2020-04-01,61.62,62.18,59.78,60.23,176218560,-5.25
2020-04-02,60.09,61.29,59.23,61.23,165933968,1.66
2020-04-03,60.7,61.42,59.74,60.35,129880064,-1.44
2020-04-06,62.73,65.78,62.34,65.62,201820288,8.73
2020-04-07,67.7,67.92,64.75,64.86,202887328,-1.16
2020-04-08,65.69,66.84,65.31,66.52,168895280,2.56
2020-04-09,67.17,67.52,66.17,67.0,162116496,0.72
2020-04-13,67.08,68.42,66.46,68.31,131022928,1.96
2020-04-14,70.0,72.06,69.51,71.76,194994688,5.05
2020-04-15,70.6,71.58,70.16,71.11,131154560,-0.91
