Date,Open,High,Low,Close,Volume,Change Pct
2020-01-02,93.75,94.9,93.21,94.9,80718200,2.72
2020-01-03,93.22,94.31,93.22,93.75,75332080,-1.21
2020-01-06,93.0,95.18,93.0,95.14,81313960,1.48
2020-01-07,95.22,95.69,94.6,95.34,82680200,0.21
2020-01-08,94.9,95.55,94.32,94.6,70239320,-0.78
2020-01-09,95.49,95.89,94.79,95.05,63499240,0.48
2020-01-10,95.27,95.35,94.0,94.16,57139180,-0.94
2020-01-13,94.57,94.9,94.04,94.56,55716880,0.42
2020-01-14,94.29,94.36,92.93,93.47,68927616,-1.15
2020-01-15,93.61,93.94,92.75,93.1,57931840,-0.4
2020-01-16,94.15,94.28,93.3,93.9,53189860,0.86
2020-01-17,94.29,94.33,92.86,93.24,79946800,-0.7
2020-01-21,93.25,94.71,93.0,94.6,74155696,1.46
2020-01-22,94.8,95.12,94.17,94.37,64325140,-0.24
2020-01-23,94.26,94.5,93.64,94.23,49692260,-0.15
2020-01-24,94.57,94.75,92.37,93.08,75323616,-1.22
2020-01-27,91.0,92.05,90.77,91.42,70570176,-1.78
2020-01-28,92.03,92.91,91.5,92.66,56160800,1.36
2020-01-29,93.2,93.74,92.75,92.9,42027800,0.26
2020-01-30,92.9,93.64,92.53,93.53,126548760,0.68
2020-01-31,102.57,102.79,100.11,100.44,311345664,7.39
2020-02-03,100.53,102.42,100.01,100.21,117981880,-0.23
2020-02-04,101.49,102.99,100.77,102.48,105786760,2.27
2020-02-05,103.55,103.55,101.6,101.99,87523480,-0.48
2020-02-06,102.05,102.81,101.24,102.51,63659080,0.51
2020-02-07,102.1,104.93,101.91,103.96,101906944,1.41
2020-02-10,104.25,106.78,104.25,106.7,101124704,2.64
2020-02-11,107.55,109.3,106.8,107.54,114920224,0.79
2020-02-12,108.16,109.01,107.76,108.0,66685280,0.43
2020-02-13,107.25,108.51,107.1,107.49,60635820,-0.47
2020-02-14,107.78,107.95,106.29,106.74,52123380,-0.7
2020-02-18,106.25,108.3,106.21,107.78,59021400,0.97
2020-02-19,108.39,109.25,108.06,108.51,51223300,0.68
2020-02-20,108.65,108.84,106.37,107.66,62626840,-0.78
2020-02-21,107.11,107.23,104.4,104.8,93014800,-2.66
2020-02-24,100.16,101.96,99.4,100.46,130939936,-4.14
2020-02-25,101.32,101.73,97.92,98.64,124381880,-1.81
2020-02-26,98.51,100.73,98.02,98.98,104808040,0.34
2020-02-27,96.72,98.75,94.14,94.22,162879856,-4.81
2020-02-28,90.73,94.49,90.56,94.19,189875936,-0.03
2020-03-02,95.32,97.73,93.5,97.7,135233024,3.73
2020-03-03,98.77,99.82,94.4,95.45,150689824,-2.3
2020-03-04,97.33,98.9,96.1,98.79,95458384,3.5
2020-03-05,96.65,98.04,95.5,96.2,94964200,-2.62
2020-03-06,93.75,95.54,93.47,95.05,105471600,-1.2
2020-03-09,88.69,93.14,88.06,90.03,156264640,-5.28
2020-03-10,93.54,94.71,90.91,94.59,142666208,5.06
2020-03-11,92.89,93.57,90.08,91.04,112936624,-3.75
2020-03-12,86.1,88.25,83.75,83.83,226924288,-7.92
2020-03-13,87.75,89.32,84.03,89.25,176194496,6.47
2020-03-16,82.08,87.97,81.3,84.46,178345296,-5.37
2020-03-17,88.77,92.89,84.46,90.39,218342576,7.02
2020-03-18,87.5,92.08,87.25,91.5,192904352,1.23
2020-03-19,93.0,97.25,91.63,94.05,207998864,2.79
2020-03-20,96.32,97.85,91.04,92.3,196356992,-1.86
2020-03-23,91.39,95.97,90.6,95.14,156169776,3.08
2020-03-24,97.57,97.75,95.02,97.0,142941600,1.96
2020-03-25,96.03,97.51,94.29,94.29,129581456,-2.79
2020-03-26,95.1,97.82,94.46,97.77,124702360,3.69
2020-03-27,96.54,96.99,95.0,95.0,107757936,-2.83
2020-03-30,96.14,98.68,95.62,98.2,122521744,3.37
2020-03-31,98.22,99.65,97.2,97.49,102472520,-0.72
2020-04-01,96.65,97.25,94.65,95.39,82437504,-2.15
2020-04-02,95.08,96.38,94.5,95.94,86719696,0.58
2020-04-03,95.56,96.32,94.46,95.33,72197400,-0.64
2020-04-06,96.8,99.93,96.5,99.88,115463616,4.77
2020-04-07,100.86,101.79,99.88,100.58,102279664,0.7
2020-04-08,101.05,102.2,100.56,102.15,79546256,1.56
2020-04-09,102.22,102.65,100.88,102.14,93112336,-0.01
2020-04-13,102.0,109.0,101.9,108.44,134334176,6.17
2020-04-14,110.02,114.6,109.31,114.17,161743856,5.28
2020-04-15,112.88,116.67,112.25,115.38,137331344,1.06
2020-04-16,117.3,123.05,116.75,120.41,240764016,4.36
2020-04-17,118.62,120.0,115.8,118.75,158600192,-1.38
2020-04-20,119.5,122.25,119.3,119.68,115413880,0.78
2020-04-21,120.83,121.42,113.98,116.41,149533584,-2.73
2020-04-22,118.45,119.7,117.55,118.17,84365904,1.51
2020-04-23,120.0,121.21,119.1,119.97,101331040,1.52
2020-04-24,120.85,121.02,119.1,120.51,76635936,0.45
2020-04-27,122.16,122.24,118.15,118.8,112912896,-1.42
2020-04-28,118.61,118.67,115.3,115.7,105388920,-2.61
