Date,Open,High,Low,Close,Volume,Change Pct
2020-01-02,28.3,28.71,28.11,28.68,143375936,2.83
2020-01-03,29.37,30.27,29.13,29.53,266920720,2.96
2020-01-06,29.36,30.1,29.33,30.1,152362640,1.93
2020-01-07,30.76,31.44,30.22,31.27,273137344,3.89
2020-01-08,31.58,33.23,31.22,32.81,467991360,4.92
2020-01-09,33.14,33.25,31.52,32.09,426948224,-2.19
2020-01-10,32.12,32.33,31.58,31.88,194652672,-0.65
2020-01-13,32.9,35.04,32.8,34.99,399518592,9.76
2020-01-14,36.28,36.49,34.99,35.86,435921088,2.49
2020-01-15,35.32,35.86,34.45,34.57,260532720,-3.6
2020-01-16,32.92,34.3,32.81,34.23,326050112,-0.98
2020-01-17,33.84,34.38,33.54,34.03,204436304,-0.58
2020-01-21,35.35,36.57,35.23,36.48,267052336,7.2
2020-01-22,38.13,39.63,37.27,37.97,470535904,4.08
2020-01-23,37.62,38.8,37.04,38.15,294765920,0.47
2020-01-24,38.04,38.26,36.95,37.65,215304208,-1.31
2020-01-27,36.13,37.63,35.95,37.2,204121232,-1.2
2020-01-28,37.9,38.45,37.21,37.79,176827568,1.59
2020-01-29,38.38,39.32,37.83,38.73,273250368,2.49
2020-01-30,42.16,43.39,41.2,42.72,435085568,10.3
2020-01-31,42.67,43.53,42.17,43.37,235789232,1.52
2020-02-03,44.91,52.41,44.9,52.0,708503104,19.9
2020-02-04,58.86,64.6,55.59,59.14,914082304,13.73
2020-02-05,54.88,56.4,46.94,48.98,726358272,-17.18
2020-02-06,46.66,53.06,45.8,49.93,598211904,1.94
2020-02-07,48.7,51.32,48.67,49.87,255953072,-0.12
2020-02-10,53.33,54.67,50.16,51.42,370337824,3.11
2020-02-11,51.25,52.23,50.53,51.63,175462272,0.41
2020-02-12,51.86,52.65,50.89,51.15,180337232,-0.93
2020-02-13,49.46,54.53,49.0,53.6,394340608,4.79
2020-02-14,52.48,54.2,52.37,53.34,235405904,-0.49
2020-02-18,56.11,57.33,55.49,57.23,250475792,7.29
2020-02-19,61.57,62.99,60.07,61.16,381344736,6.87
2020-02-20,60.8,60.8,57.33,59.96,264523664,-1.96
2020-02-21,60.47,60.87,58.7,60.07,215091904,0.18
2020-02-24,55.93,57.57,54.81,55.59,227882672,-7.46
2020-02-25,56.6,57.11,52.47,53.33,259357472,-4.07
2020-02-26,52.17,54.22,51.74,51.92,212307856,-2.64
2020-02-27,48.67,49.32,44.6,45.27,364157760,-12.81
2020-02-28,41.98,46.03,40.77,44.53,368462944,-1.63
2020-03-02,47.42,49.58,45.78,49.57,302925152,11.32
2020-03-03,53.67,53.8,47.74,49.7,386760416,0.26
2020-03-04,50.93,51.1,48.32,49.97,225734880,0.54
2020-03-05,48.25,49.72,47.87,48.3,162790016,-3.34
2020-03-06,46.0,47.13,45.62,46.9,189943952,-2.9
2020-03-09,40.36,44.2,40.33,40.53,256106352,-13.58
2020-03-10,43.96,44.53,40.53,43.02,233916880,6.14
2020-03-11,42.68,43.57,40.87,42.28,201204000,-1.72
2020-03-12,38.73,39.63,36.42,37.37,283636064,-11.61
2020-03-13,39.67,40.5,33.47,36.44,339604160,-2.49
2020-03-16,31.3,32.99,29.48,29.67,307342272,-18.58
2020-03-17,29.33,31.46,26.4,28.68,359919072,-3.34
2020-03-18,25.93,26.99,23.37,24.08,356792800,-16.04
2020-03-19,24.98,30.13,23.9,28.51,452932352,18.4
2020-03-20,29.21,31.8,28.39,28.5,424282944,-0.04
2020-03-23,28.91,29.47,27.37,28.95,246818480,1.58
2020-03-24,31.82,34.25,31.6,33.67,343427904,16.3
2020-03-25,36.35,37.13,34.07,35.95,318341504,6.77
2020-03-26,36.49,37.33,34.15,35.21,261331488,-2.06
2020-03-27,33.67,35.05,32.94,34.29,215661328,-2.61
2020-03-30,34.02,34.44,32.75,33.48,179971184,-2.36
2020-03-31,33.42,36.2,33.13,34.93,266572544,4.33
2020-04-01,33.6,34.26,31.67,32.1,200297904,-8.1
2020-04-02,32.07,32.95,29.76,30.3,297876704,-5.61
2020-04-03,33.97,34.37,31.23,32.0,338431488,5.61
2020-04-06,34.08,34.73,33.2,34.42,223527760,7.56
2020-04-07,36.33,37.67,35.49,36.36,268797024,5.64
2020-04-08,36.95,37.15,35.56,36.59,189840544,0.63
2020-04-09,37.47,38.35,37.14,38.2,204750208,4.4
2020-04-13,39.34,43.47,38.7,43.4,337131648,13.61
2020-04-14,46.6,49.46,46.16,47.33,458648128,9.06
2020-04-15,49.47,50.21,47.33,48.66,353655360,2.81
2020-04-16,47.8,50.63,47.11,49.68,309868224,2.1
2020-04-17,51.49,51.66,49.84,50.26,196923744,1.17
2020-04-20,48.85,51.04,47.48,49.76,221198880,-0.99
2020-04-21,48.67,50.22,44.92,45.78,303136704,-8.0
2020-04-22,46.93,48.93,45.91,48.81,213372672,6.62
2020-04-23,48.51,48.93,46.88,47.04,198550656,-3.63
2020-04-24,47.39,48.72,46.55,48.34,198564384,2.76
2020-04-27,49.17,53.3,49.0,53.25,310221952,10.16
2020-04-28,53.04,53.67,50.45,51.27,228329696,-3.72
2020-04-29,52.68,53.55,52.21,53.37,243239968,4.1
2020-04-30,57.01,57.99,50.9,52.13,427078240,-2.32
2020-05-01,50.33,51.52,45.54,46.75,487977600,-10.32
2020-05-04,46.73,50.8,46.53,50.75,288556640,8.56
2020-05-05,52.65,53.26,50.81,51.21,254875088,0.91
2020-05-06,51.77,52.65,50.74,52.17,166848624,1.87
2020-05-07,51.81,53.09,51.49,52.0,172915456,-0.33
2020-05-08,52.92,54.93,52.47,54.63,241951552,5.06
2020-05-11,52.7,54.93,52.33,54.09,247794256,-0.99
2020-05-12,55.13,56.22,53.87,53.96,238603808,-0.24
2020-05-13,54.72,55.07,50.89,52.73,285982656,-2.28
2020-05-14,52.0,53.56,50.93,53.56,205233024,1.57
2020-05-15,52.69,53.67,52.44,53.28,157776576,-0.52
2020-05-18,55.19,55.65,53.59,54.24,175471712,1.8
2020-05-19,54.34,54.8,53.74,53.87,144547968,-0.68
2020-05-20,54.7,55.07,54.12,54.37,109639176,0.93
2020-05-21,54.4,55.5,53.07,55.17,183818944,1.47
2020-05-22,54.81,55.45,54.13,54.46,149812272,-1.29
2020-05-26,55.63,55.64,54.38,54.59,121346160,0.24
2020-05-27,54.72,55.18,52.33,54.68,173243120,0.16
2020-05-28,54.23,54.98,53.45,53.72,109136720,-1.76
2020-05-29,53.92,55.67,53.61,55.67,177187520,3.63
2020-06-01,57.2,59.93,56.94,59.87,226279680,7.54
2020-06-02,59.65,60.58,58.07,58.77,203484144,-1.84
2020-06-03,59.21,59.86,58.67,58.86,119242152,0.15
2020-06-04,59.33,59.72,57.23,57.63,133315832,-2.09
2020-06-05,58.52,59.1,57.75,59.04,117178872,2.45
2020-06-08,61.27,63.33,60.61,63.33,212621120,7.27
2020-06-09,62.67,63.63,61.6,62.71,170822480,-0.98
2020-06-10,66.13,68.5,65.5,68.34,278451488,8.98
2020-06-11,66.01,67.93,64.8,64.86,238747472,-5.09
