Date,Open,High,Low,Close,Volume,Change Pct
2020-01-02,158.78,160.73,158.33,160.62,22634546,1.85
2020-01-03,158.32,159.94,158.06,158.62,21121680,-1.25
2020-01-06,157.08,159.1,156.51,159.03,20826702,0.26
2020-01-07,159.32,159.67,157.32,157.58,21881740,-0.91
2020-01-08,158.93,160.8,157.95,160.09,27762026,1.59
2020-01-09,161.84,162.22,161.03,162.09,21399952,1.25
2020-01-10,162.82,163.22,161.18,161.34,20733946,-0.46
2020-01-13,161.76,163.31,161.26,163.28,21637008,1.2
2020-01-14,163.39,163.6,161.72,162.13,23500784,-0.7
2020-01-15,162.62,163.94,162.57,163.18,21417872,0.65
2020-01-16,164.35,166.24,164.03,166.17,23865360,1.83
2020-01-17,167.42,167.47,165.43,167.1,34371660,0.56
2020-01-21,166.68,168.19,166.43,166.5,29517192,-0.36
2020-01-22,167.4,167.49,165.68,165.7,24138776,-0.48
2020-01-23,166.19,166.8,165.27,166.72,19680766,0.62
2020-01-24,167.51,167.53,164.45,165.04,24918116,-1.01
2020-01-27,161.15,163.38,160.2,162.28,32078068,-1.67
2020-01-28,163.78,165.75,163.07,165.46,24899940,1.96
2020-01-29,167.84,168.75,165.69,168.04,35127772,1.56
2020-01-30,174.05,174.05,170.79,172.78,51597472,2.82
2020-01-31,172.21,172.4,169.58,170.23,36142688,-1.48
2020-02-03,170.43,174.5,170.4,174.38,30149052,2.44
2020-02-04,177.14,180.64,176.31,180.12,36433340,3.29
2020-02-05,184.03,184.2,178.41,179.9,39186324,-0.12
2020-02-06,180.97,183.82,180.06,183.63,27751380,2.07
2020-02-07,182.84,185.63,182.48,183.89,33529074,0.14
2020-02-10,183.58,188.84,183.25,188.7,35844268,2.62
2020-02-11,190.65,190.7,183.5,184.44,53159904,-2.26
2020-02-12,185.58,185.85,181.85,184.71,47062920,0.15
2020-02-13,183.08,186.23,182.87,183.71,35295832,-0.54
2020-02-14,183.25,185.41,182.65,185.35,23149516,0.89
2020-02-18,185.6,187.7,185.5,187.23,27853112,1.01
2020-02-19,188.06,188.18,186.47,187.28,29997472,0.03
2020-02-20,186.95,187.25,181.1,184.42,36862376,-1.53
2020-02-21,183.17,183.5,177.25,178.59,48600384,-3.16
2020-02-24,167.77,174.55,163.23,170.89,68311064,-4.31
2020-02-25,174.2,174.84,167.65,168.07,68073296,-1.65
2020-02-26,169.71,173.26,168.21,170.17,56387148,1.25
2020-02-27,163.32,167.03,157.98,158.18,93174904,-7.05
