,correlatoin,AAPL,MSFT,AMZN,GOOG,TSLA
20,0.9918528674071084,0,0,35,45,20
62,0.9917868015306186,0,5,35,40,20
659,0.9917334743471881,5,0,35,40,20
19,0.991702649030692,0,0,35,40,25
660,0.9916876874465786,5,0,35,45,15
712,0.9916136260498288,5,5,35,40,15
114,0.9915119041932342,0,10,35,35,20
1327,0.9914485573427071,10,0,35,40,15
63,0.9914436866603991,0,5,35,45,15
115,0.9914193062711877,0,10,35,40,15
711,0.9914029820263198,5,5,35,35,20
704,0.9913951056652733,5,5,30,40,20
653,0.9913906672972997,5,0,30,45,20
61,0.9913777360983519,0,5,35,35,25
107,0.9913694124925103,0,10,30,40,20
55,0.991367047240792,0,5,30,40,25
14,0.991358256941417,0,0,30,45,25
774,0.9913299747723742,5,10,35,35,15
56,0.9913135444068465,0,5,30,45,20
168,0.9912241517112924,0,15,30,35,20
1328,0.9912104591614234,10,0,35,45,10
766,0.9911967093778822,5,10,30,40,15
765,0.9911965346470373,5,10,30,35,20
177,0.991187282958145,0,15,35,35,15
106,0.9911735993174284,0,10,30,35,25
652,0.9911499442082335,5,0,30,40,25
705,0.9911484131064188,5,5,30,45,15
1390,0.9911231496049694,10,5,35,40,10
1320,0.9911178166870701,10,0,30,45,15
1381,0.9911127386060931,10,5,30,40,15
1389,0.9911073762643466,10,5,35,35,15
713,0.9910760560289694,5,5,35,45,10
1319,0.9910680132806023,10,0,30,40,20
835,0.9910431479029669,5,15,30,35,15
775,0.9910403672068243,5,10,35,40,10
658,0.9910182708334011,5,0,35,35,25
176,0.9910179492283037,0,15,35,30,20
1326,0.9909294632758558,10,0,35,35,20
169,0.9909275669981462,0,15,30,40,15
13,0.9909235396877943,0,0,30,40,30
1450,0.9909039397443898,10,10,30,35,15
703,0.9908993578923747,5,5,30,35,25
237,0.9908677046651009,0,20,30,30,20
773,0.9908515925694441,5,10,35,30,20
2005,0.9908458828767195,15,0,35,40,10
113,0.9908327758024168,0,10,35,30,25
108,0.9908318920457445,0,10,30,45,15
844,0.9908264742032903,5,15,35,30,15
1460,0.990825560056033,10,10,35,35,10
238,0.9908233275417522,0,20,30,35,15
1380,0.9908103564926584,10,5,30,35,20
845,0.9907963233962103,5,15,35,35,10
18,0.9907885459395331,0,0,35,35,30
834,0.9907849222717864,5,15,30,30,20
167,0.9907679234628114,0,15,30,30,25
247,0.9907373364546063,0,20,35,30,15
1451,0.9907121354085601,10,10,30,40,10
910,0.9906776381728962,5,20,30,30,15
1382,0.990676645096566,10,5,30,45,10
1996,0.9906752314818101,15,0,30,40,15
54,0.9906750108187973,0,5,30,35,30
178,0.9905985172097345,0,15,35,40,10
116,0.9905886959728605,0,10,35,45,10
836,0.9905524794222094,5,15,30,40,10
1526,0.9905450972159116,10,15,30,35,10
1459,0.9905445337508052,10,10,35,30,15
1997,0.9905377679845333,15,0,30,45,10
2004,0.9905194975790991,15,0,35,35,15
2066,0.9905179801422411,15,5,30,40,10
313,0.9905090708536266,0,25,30,30,15
2075,0.9904888780996824,15,5,35,35,10
1525,0.9904813606936731,10,15,30,30,15
767,0.9904676812420514,5,10,30,45,10
911,0.9904366743582228,5,20,30,35,10
764,0.9904347733299969,5,10,30,30,25
2006,0.9904197585686949,15,0,35,45,5
710,0.990412176855291,5,5,35,30,25
2065,0.9904054470845917,15,5,30,35,15
248,0.9904019943278675,0,20,35,35,10
1391,0.9903955512186495,10,5,35,45,5
1461,0.9903432496725574,10,10,35,40,5
1449,0.9903379106508614,10,10,30,30,20
920,0.9903336208533594,5,20,35,30,10
1388,0.990315010934211,10,5,35,30,20
2076,0.990313938720819,15,5,35,40,5
1535,0.9903074136033221,10,15,35,30,10
246,0.9902946363528946,0,20,35,25,20
2141,0.9902938222312253,15,10,30,35,10
312,0.9902899165729562,0,25,30,25,20
1318,0.9902678773489939,10,0,30,35,25
105,0.990213350691293,0,10,30,30,30
26,0.9902130371212408,0,0,40,40,20
60,0.9901858836334739,0,5,35,30,30
1604,0.9901654218763077,10,20,30,30,10
651,0.9901559573187915,5,0,30,35,30
909,0.990150149573789,5,20,30,25,20
236,0.9901399424906132,0,20,30,25,25
989,0.9901101394407064,5,25,30,30,10
27,0.9901010355477027,0,0,40,45,15
919,0.9900927919544229,5,20,35,25,15
988,0.9900899932160507,5,25,30,25,15
1536,0.9900819479445058,10,15,35,35,5
843,0.9900690514140347,5,15,35,25,20
1995,0.9900661660654484,15,0,30,35,20
322,0.9900591029856612,0,25,35,25,15
175,0.9900575556803906,0,15,35,25,25
239,0.9900402177291616,0,20,30,40,10
667,0.9900344450180596,5,0,40,40,15
776,0.99001775276907,5,10,35,45,5
846,0.9900128892317207,5,15,35,40,5
2151,0.9899972197912087,15,10,35,35,5
323,0.9899888163847381,0,25,35,30,10
391,0.9899745878772209,0,30,30,25,15
2663,0.9899699429798275,20,0,30,40,10
314,0.9899696182727652,0,25,30,35,10
2673,0.9899243391182396,20,0,35,40,5
2140,0.9899201615006133,15,10,30,30,15
70,0.9899196656246959,0,5,40,40,15
2142,0.9899142878051786,15,10,30,40,5
170,0.9899122114193514,0,15,30,45,10
2150,0.98990953589878,15,10,35,30,10
2067,0.9898968481686834,15,5,30,45,5
2074,0.9898917193691721,15,5,35,30,15
1527,0.9898647351207301,10,15,30,40,5
2219,0.9898552225076356,15,15,30,30,10
1603,0.989834856314398,10,20,30,25,15
921,0.9898010138393643,5,20,35,35,5
1452,0.9897960962048497,10,10,30,45,5
2672,0.9897866659350929,20,0,35,35,10
69,0.9897721902364178,0,5,40,35,20
1534,0.9897497494809028,10,15,35,25,15
833,0.98974616283674,5,15,30,25,25
1379,0.9897388902881297,10,5,30,30,25
12,0.989733513894503,0,0,30,35,35
1605,0.9897321386260318,10,20,30,35,5
2220,0.989728588829275,15,15,30,35,5
668,0.9897262651962702,5,0,40,45,10
392,0.9896902871150733,0,30,30,30,10
2738,0.9896829583511562,20,5,30,35,10
2664,0.9896494284007168,20,0,30,45,5
997,0.9896418739258674,5,25,35,25,10
1524,0.9896406123505226,10,15,30,25,20
702,0.9896318437671985,5,5,30,30,30
1325,0.9896231136757052,10,0,35,30,25
2739,0.9896097376741348,20,5,30,40,5
1613,0.9896013346693978,10,20,35,30,5
720,0.9895842967766671,5,5,40,35,15
666,0.9895790072646976,5,0,40,35,20
772,0.9895741390628779,5,10,35,25,25
1682,0.9895629060096636,10,25,30,25,10
1067,0.9895626432135544,5,30,30,25,10
1612,0.9895583622964774,10,20,35,25,10
25,0.9895576816378607,0,0,40,35,25
2662,0.9895485852415916,20,0,30,35,15
2748,0.9895463800968447,20,5,35,35,5
1336,0.9895349142731917,10,0,40,40,10
721,0.9895330980785826,5,5,40,40,10
166,0.9895285827068728,0,15,30,25,30
2064,0.9895274227508207,15,5,30,30,20
123,0.989523198291793,0,10,40,35,15
657,0.9895133532753846,5,0,35,30,30
390,0.9894805744626772,0,30,30,20,20
1458,0.9894677561467233,10,10,35,25,20
912,0.9894619339999917,5,20,30,40,5
2228,0.9894593233495562,15,15,35,30,5
2003,0.9894092643743247,15,0,35,30,20
2077,0.9894013207702821,15,5,35,45,0
1683,0.9893881713956822,10,25,30,30,5
990,0.9893764428182309,5,25,30,35,5
998,0.9893718020605106,5,25,35,30,5
2817,0.9893650923698587,20,10,30,35,5
112,0.9893522391610398,0,10,35,25,30
400,0.9893485806504013,0,30,35,25,10
837,0.9893481685913345,5,15,30,45,5
321,0.9893316336698622,0,25,35,20,20
2298,0.9893296396722998,15,20,30,30,5
2152,0.9893271119135115,15,10,35,40,0
249,0.9893246461393713,0,20,35,40,5
